Fund,Account #,Ticker,Description,Broker,Transaction Type,Trade Date,Settle Date,Quantity,Commission,Price,Gross $,Commission $,Fees,Net $,Instrument Type,Call/Put,Contract Size,Exp Date,Strike Price,Currency,Transaction Id,TrdSign,SEC Fee,ORF Fee,OCC Fee,Portfolio,,Custodian
wsfCompoundersLO,065448128CompoundersLO.USD,SLB,SLB Limited,GSPT,Sell to Close,07/10/2026,07/13/2026,(21),0.0100,47.7850,1003.48,(0.21),(0.03),1003.24,Common Stock,,,,,USD,66cdc72883c3c41d72f6e0f20c4b7140_9544849d94cd73391daf1822dea1cf69,(1),(0.03),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,HR,Healthcare Realty Trust Incorporated Class A,GSPT,Buy to Cover,07/10/2026,07/13/2026,17,0.0100,20.5500,(349.35),(0.17),0.00,(349.52),Common Stock,,,,,USD,314ae5acd967cfa3f689bfff2d43f117_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,CPRT,"Copart, Inc.",PREX,Sell to Close,07/10/2026,07/13/2026,(652),0.0500,27.6447,18024.34,(32.60),(0.38),17991.36,Common Stock,,,,,USD,8de61d72cc9c4d4f8b15ed6aea5142b2_4fc362f270110ecc7ae7463f13eed099,(1),(0.38),0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,CFR,"Cullen/Frost Bankers, Inc.",GSPT,Buy to Open,07/10/2026,07/13/2026,6,0.0100,156.4000,(938.40),(0.06),0.00,(938.46),Common Stock,,,,,USD,f165857e1d5d183b37d8557c03a6fa54_9544849d94cd73391daf1822dea1cf69,1,0.00,0.00,0.00,Default,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,XLV,State Street Health Care Select Sector SPDR ETF,PREX,Buy to Cover,07/10/2026,07/13/2026,4,0.0600,160.7925,(643.17),(0.24),0.00,(643.41),Common Stock,,,,,USD,9e4f083d4c9d86ed0289b48b2b325cc1_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
wsfFCMAlpha,065448128FCMAlpha.USD,UUP,Invesco DB US Dollar Index Bullish Fund,PREX,Buy to Cover,07/10/2026,07/13/2026,722,0.0500,28.3728,(20485.16),(36.10),0.00,(20521.26),Common Stock,,,,,USD,83d2b77d742a19ea052286e1ac69374b_4fc362f270110ecc7ae7463f13eed099,1,0.00,0.00,0.00,Default,,gsco
wsfCompoundersLO,065448128CompoundersLO.USD,FTNT,"Fortinet, Inc.",GSPT,Sell to Close,07/10/2026,07/13/2026,(6),0.0100,157.8600,947.16,(0.06),(0.02),947.08,Common Stock,,,,,USD,c2de140cf27b66d998a029abf45077c3_9544849d94cd73391daf1822dea1cf69,(1),(0.02),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,RUM,RUM Group Inc. Class A,GSPT,Buy to Cover,07/10/2026,07/13/2026,92,0.0100,6.2199,(572.23),(0.92),0.00,(573.15),Common Stock,,,,,USD,d6842719dd3ce34cb8e8d232969795cb_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,KRNY,Kearny Financial Corp.,GSPT,Buy to Cover,07/10/2026,07/13/2026,65,0.0100,9.3082,(605.03),(0.65),0.00,(605.68),Common Stock,,,,,USD,fca0c31034103f354f060c0c24926f94_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,AA,Alcoa Corporation,GSPT,Sell to Close,07/10/2026,07/13/2026,(2),0.0100,48.6500,97.30,(0.02),(0.01),97.27,Common Stock,,,,,USD,9509ed23f4a9e73b3474d52c43a0bc95_75daddc2f2e8e016bec80ce345b00185,(1),(0.01),0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,TW_CROS_QuantimentS6Gr41r.USD,VZ,Verizon Communications Inc.,CROS,Buy to Open,07/10/2026,07/10/2026,3,0.0000,42.1200,(126.36),(0.00),0.00,(126.36),Common Stock,,,,,USD,d9bc96f2c65f1bf78aee205f88e6399d_a54237a27e3da320ed6893eddf3ece25,1,0.00,0.00,0.00,TopWater,,cros
wsfFCMAlpha,065448128FCMAlpha.USD,ENOV,Enovis Corporation,PREX,Sell to Close,07/10/2026,07/13/2026,(760),0.0500,25.5787,19439.81,(38.00),(0.41),19401.40,Common Stock,,,,,USD,c8aa0a35690497efee1d6ea89d7a83bc_4fc362f270110ecc7ae7463f13eed099,(1),(0.41),0.00,0.00,Default,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,ATEX,Anterix Inc.,GSPT,Buy to Cover,07/10/2026,07/13/2026,2,0.0100,101.5500,(203.10),(0.02),0.00,(203.12),Common Stock,,,,,USD,e5be1ee88d5b35666d09ec3abe89afb1_75daddc2f2e8e016bec80ce345b00185,1,0.00,0.00,0.00,TopWater,,gsco
topQuantimentS6Gr41r,065465783QuantimentS6Gr41r.USD,NNE,Nano Nuclear Energy Inc.,GSPT,Short Sell,07/10/2026,07/13/2026,(558),0.0100,18.8663,10527.40,(5.58),(0.22),10521.60,Common Stock,,,,,USD,f4bdbc0a483cbac772999f662d86401e_75daddc2f2e8e016bec80ce345b00185,(1),(0.22),0.00,0.00,TopWater,,gsco
wsfCompoundersV2,065448128CompoundersV2.USD,NNE,Nano Nuclear Energy Inc.,GSPT,Short Sell,07/10/2026,07/13/2026,(1873),0.0100,18.8663,35336.58,(18.73),(0.73),35317.12,Common Stock,,,,,USD,f4bdbc0a483cbac772999f662d86401e_c0988a970718c11d2ed9b306d70d45e3,(1),(0.73),0.00,0.00,Default,,gsco
wsfCompoundersV2AIGr,065448128CompoundersV2AIGr.USD,NNE,Nano Nuclear Energy Inc.,GSPT,Short Sell,07/10/2026,07/13/2026,(755),0.0100,18.8663,14244.06,(7.55),(0.30),14236.21,Common Stock,,,,,USD,f4bdbc0a483cbac772999f662d86401e_3180773ea06483ef201569b94df6ab6a,(1),(0.30),0.00,0.00,Default,,gsco
